Distance,Speed,Throttle,Brake,RPM,nGear,ElapsedSec
4.622777777777777,314.0,100.0,False,10881.0,8,0.0
29.278333333333336,317.0,100.0,False,10916.0,8,0.28
47.000555555555565,319.0,100.0,False,10916.0,8,0.48
71.88944444444445,320.0,100.0,False,11062.0,8,0.76
89.66722222222222,320.0,100.0,False,11072.0,8,0.96
125.2227777777778,320.0,100.0,False,11101.0,8,1.36
150.11166666666668,320.0,100.0,False,11101.0,8,1.64
168.38944444444445,329.0,100.0,False,11283.0,8,1.84
190.3227777777778,329.0,100.0,False,11367.0,8,2.08
219.6561111111111,330.0,100.0,False,11367.0,8,2.4
248.98944444444447,330.0,0.0,True,10319.0,8,2.72
270.37833333333333,275.0,0.0,True,10319.0,8,3.0
295.045,222.0,0.0,True,10681.0,8,3.4
317.7683333333334,204.0,0.0,True,11493.0,8,3.801
339.4016666666667,177.0,0.0,True,10401.0,4,4.241
354.42388888888894,169.0,0.0,False,9910.0,4,4.561
394.2683333333334,163.0,54.0,False,9895.0,4,5.441
401.6016666666667,165.0,54.0,False,9895.0,4,5.601
413.0683333333334,172.0,80.0,False,10518.0,4,5.841
433.4016666666667,183.0,99.0,False,11003.0,4,6.241
441.8816666666667,192.0,99.0,False,11423.0,4,6.4
450.4150000000001,192.0,100.0,False,11468.0,4,6.56
468.4594444444445,203.0,100.0,False,10457.0,4,6.88
486.503888888889,203.0,100.0,False,10457.0,5,7.2
495.9705555555557,213.0,100.0,False,10902.0,5,7.36
512.5372222222223,213.0,100.0,False,11203.0,5,7.64
522.003888888889,213.0,100.0,False,11203.0,5,7.8
538.5705555555556,213.0,100.0,False,11203.0,5,8.08
557.503888888889,213.0,100.0,False,11203.0,5,8.4
566.9705555555557,213.0,100.0,False,11203.0,5,8.56
578.8038888888891,213.0,100.0,False,10751.0,5,8.76
600.7594444444445,247.0,100.0,False,10838.0,6,9.08
623.1594444444445,252.0,100.0,False,11288.0,6,9.4
642.7594444444446,252.0,100.0,False,11439.0,6,9.68
660.1594444444446,261.0,100.0,False,11604.0,6,9.92
674.7877777777778,262.0,100.0,False,11691.0,6,10.121
698.5211111111112,267.0,100.0,False,10293.0,7,10.441
713.5211111111113,270.0,100.0,False,10400.0,7,10.641
737.8766666666668,274.0,100.0,False,10625.0,7,10.961
765.4766666666669,276.0,100.0,False,10683.0,7,11.321
783.9433333333336,277.0,100.0,False,10677.0,7,11.561
799.387777777778,278.0,100.0,False,10778.0,7,11.761
814.8322222222223,278.0,100.0,False,10778.0,7,11.961
846.1655555555557,282.0,100.0,False,10885.0,7,12.361
865.0322222222223,283.0,100.0,False,10957.0,7,12.601
880.8100000000001,284.0,100.0,False,10953.0,7,12.801
899.8766666666668,286.0,100.0,False,11052.0,7,13.041
915.6861111111112,286.0,100.0,False,11052.0,7,13.24
928.3083333333335,284.0,0.0,True,10794.0,7,13.4
940.752777777778,280.0,0.0,True,10461.0,7,13.56
960.3527777777781,252.0,0.0,True,9490.0,7,13.84
979.7305555555558,218.0,0.0,True,8855.0,7,14.16
990.730555555556,198.0,0.0,True,9695.0,6,14.36
998.8194444444448,182.0,0.0,True,10535.0,6,14.52
1010.2194444444448,171.0,0.0,True,10449.0,4,14.76
1021.8861111111114,150.0,0.0,True,10597.0,3,15.04
1028.0194444444448,138.0,0.0,True,10775.0,3,15.2
1035.2972222222227,131.0,0.0,True,11119.0,3,15.4
1046.0527777777781,121.0,0.0,True,10610.0,2,15.72
1051.2972222222227,118.0,0.0,True,10151.0,2,15.88
1060.4750000000006,118.0,0.0,True,8923.0,2,16.16
1072.030555555556,104.0,0.0,True,8533.0,2,16.56
1079.6800000000005,98.0,0.0,False,8337.0,2,16.841
1086.1466666666672,97.0,13.0,False,8424.0,2,17.081
1091.424444444445,95.0,13.0,False,8424.0,2,17.281
1096.7577777777783,96.0,28.0,False,8633.0,2,17.481
1104.613333333334,101.0,32.0,False,8906.0,2,17.761
1110.335555555556,103.0,40.0,False,9409.0,2,17.961
1123.113333333334,115.0,48.0,False,10467.0,2,18.361
1129.6688888888893,118.0,52.0,False,10808.0,2,18.561
1137.735555555556,121.0,55.0,False,11001.0,2,18.801
1143.5133333333338,130.0,64.0,False,11544.0,2,18.961
1154.2466666666671,138.0,60.0,False,10424.0,2,19.241
1200.2500000000005,148.0,0.0,False,10022.0,3,20.36
1214.7500000000005,145.0,0.0,False,9932.0,3,20.72
1224.4166666666672,145.0,24.0,False,9932.0,3,20.96
1235.6944444444448,145.0,24.0,False,9932.0,3,21.24
1252.3611111111115,150.0,56.0,True,10706.0,3,21.64
1264.6500000000003,158.0,72.0,False,11686.0,3,21.92
1273.8722222222225,166.0,80.0,False,11149.0,3,22.12
1290.0500000000002,182.0,100.0,False,10786.0,4,22.44
