Distance,Speed,Throttle,Brake,RPM,nGear,ElapsedSec
7.2,240.0,100.0,False,10705.0,6,0.0
20.533333333333335,240.0,100.0,False,10705.0,6,0.2
34.435833333333335,249.0,100.0,False,11265.0,6,0.401
51.56916666666667,257.0,100.0,False,11343.0,6,0.641
71.55805555555555,257.0,100.0,False,11766.0,6,0.921
86.3913888888889,267.0,100.0,False,11766.0,6,1.121
98.43583333333333,271.0,100.0,False,11766.0,7,1.281
125.53583333333334,271.0,100.0,False,10738.0,7,1.641
150.42472222222221,280.0,100.0,False,10838.0,7,1.961
169.22472222222223,282.0,100.0,False,10963.0,7,2.201
188.15805555555553,284.0,100.0,False,10949.0,7,2.441
203.99138888888888,285.0,100.0,False,11019.0,7,2.641
229.50249999999997,287.0,100.0,False,11062.0,7,2.961
255.01361111111106,287.0,100.0,False,11095.0,7,3.281
287.2358333333333,290.0,100.0,False,11153.0,7,3.681
318.68027777777775,283.0,0.0,False,11144.0,7,4.081
338.67527777777775,258.0,0.0,True,10724.0,7,4.36
361.6086111111111,258.0,0.0,True,11276.0,7,4.68
379.4752777777777,201.0,0.0,True,12161.0,6,5.0
391.2752777777777,177.0,0.0,True,12022.0,4,5.24
408.8308333333333,158.0,0.0,True,11410.0,3,5.64
419.3641666666667,158.0,0.0,True,11838.0,3,5.88
433.9197222222222,131.0,0.0,True,11185.0,2,6.28
442.65305555555557,131.0,0.0,False,10058.0,2,6.52
453.88416666666666,112.0,0.0,False,9595.0,2,6.881
458.8175,111.0,7.0,False,9588.0,2,7.041
467.37305555555554,110.0,20.0,False,9557.0,2,7.321
481.2397222222222,104.0,0.0,False,9137.0,2,7.801
491.63972222222225,104.0,6.0,False,8546.0,2,8.161
498.5730555555556,104.0,27.0,False,8829.0,2,8.401
504.35083333333336,104.0,46.0,False,9390.0,2,8.601
512.4397222222223,104.0,52.0,False,9991.0,2,8.881
518.8841666666667,116.0,52.0,False,9991.0,2,9.081
524.0397222222223,116.0,62.0,False,10803.0,2,9.241
536.9397222222223,129.0,69.0,False,11658.0,2,9.601
543.0286111111111,137.0,75.0,False,12522.0,2,9.761
552.6952777777777,145.0,76.0,False,11402.0,2,10.001
561.4174999999999,157.0,87.0,False,11440.0,3,10.201
583.4175,180.0,100.0,False,10617.0,4,10.641
597.4175,180.0,100.0,False,10958.0,4,10.921
607.865,189.0,100.0,False,11238.0,4,11.12
616.9316666666667,204.0,100.0,False,10604.0,4,11.28
638.7316666666667,218.0,100.0,False,11084.0,5,11.64
658.2872222222222,220.0,100.0,False,11419.0,5,11.96
668.5094444444445,230.0,100.0,False,11419.0,5,12.12
681.6205555555557,236.0,100.0,False,10551.0,6,12.32
697.6872222222223,241.0,100.0,False,11042.0,6,12.56
717.2094444444447,251.0,100.0,False,11051.0,6,12.84
736.7316666666668,251.0,100.0,False,11579.0,6,13.12
760.6283333333334,268.0,100.0,False,10825.0,6,13.441
781.8616666666669,273.0,100.0,False,10682.0,6,13.721
803.0950000000001,273.0,100.0,False,10893.0,7,14.001
822.1616666666669,286.0,100.0,False,11094.0,7,14.241
841.2283333333336,286.0,100.0,False,11291.0,7,14.481
