Distance,Speed,Throttle,Brake,RPM,nGear,ElapsedSec
13.751111111111111,272.0,100.0,False,10542.0,7,0.0
28.973333333333336,274.0,100.0,False,10569.0,7,0.2
59.751111111111115,277.0,100.0,False,10679.0,7,0.6
78.28444444444445,278.0,100.0,False,10735.0,7,0.84
109.39555555555555,280.0,100.0,False,10864.0,7,1.24
125.06222222222223,282.0,100.0,False,10910.0,7,1.44
150.39555555555555,285.0,100.0,False,10963.0,7,1.76
166.28444444444443,286.0,100.0,False,11010.0,7,1.96
188.60666666666668,287.0,100.0,False,11076.0,7,2.24
201.40666666666667,288.0,100.0,False,11099.0,7,2.4
214.17083333333335,289.0,100.0,False,11085.0,7,2.559
274.8375,260.0,0.0,True,10693.0,7,3.399
285.28194444444443,235.0,0.0,True,10795.0,7,3.559
299.41527777777776,212.0,0.0,True,11344.0,7,3.799
320.4375,172.0,0.0,True,11460.0,4,4.239
334.73749999999995,143.0,0.0,True,10301.0,3,4.599
344.69305555555553,128.0,0.0,True,10854.0,2,4.879
356.29305555555555,116.0,0.0,True,9536.0,2,5.239
361.3152777777778,113.0,0.0,True,9078.0,2,5.399
369.17083333333335,101.0,0.0,True,8442.0,2,5.679
380.80833333333334,95.0,0.0,False,8015.0,2,6.12
384.98611111111114,94.0,0.0,False,7884.0,2,6.28
389.07500000000005,92.0,5.0,False,7780.0,2,6.44
395.1416666666667,91.0,18.0,False,8121.0,2,6.68
408.3416666666667,99.0,35.0,False,8597.0,2,7.16
421.78611111111115,110.0,62.0,False,9944.0,2,7.6
427.07500000000005,119.0,68.0,False,10446.0,2,7.76
438.98611111111114,134.0,70.0,False,11758.0,2,8.08
451.60833333333335,142.0,41.0,False,11006.0,2,8.4
465.7083333333333,141.0,0.0,False,9512.0,3,8.76
471.84166666666664,138.0,0.0,False,9979.0,3,8.92
484.01944444444445,137.0,24.0,False,9695.0,3,9.24
496.24777777777774,138.0,37.0,False,9852.0,3,9.559
502.46999999999997,140.0,45.0,False,10004.0,3,9.719
510.4144444444445,143.0,55.0,False,10305.0,3,9.919
525.6144444444444,152.0,50.0,False,10809.0,3,10.279
534.2255555555555,155.0,57.0,False,10970.0,3,10.479
546.7477777777777,161.0,65.0,False,11444.0,3,10.759
559.8144444444443,168.0,67.0,False,11069.0,3,11.039
567.5033333333332,173.0,64.0,False,10425.0,3,11.199
577.3366666666665,177.0,61.0,False,10753.0,4,11.399
587.3366666666665,180.0,54.0,False,10690.0,4,11.599
597.6144444444442,185.0,80.0,False,11266.0,4,11.799
608.1699999999997,190.0,100.0,False,11545.0,4,11.999
621.3033333333331,197.0,100.0,False,11686.0,4,12.239
634.9599999999998,204.0,100.0,False,10484.0,4,12.48
644.1599999999997,207.0,100.0,False,10648.0,5,12.64
720.2044444444442,236.0,100.0,False,10511.0,5,13.8
744.6044444444443,244.0,100.0,False,10870.0,6,14.16
772.271111111111,249.0,100.0,False,11125.0,6,14.56
800.0488888888888,250.0,100.0,False,11202.0,6,14.96
817.1155555555555,256.0,100.0,False,11202.0,6,15.2
831.7266666666667,263.0,100.0,False,11482.0,6,15.4
855.2822222222221,265.0,100.0,False,10640.0,6,15.72
873.3488888888888,271.0,100.0,False,10461.0,7,15.96
897.7169444444443,275.0,100.0,False,10666.0,7,16.279
928.8280555555556,280.0,100.0,False,10751.0,7,16.679
950.7613888888887,282.0,100.0,False,10802.0,7,16.959
963.383611111111,284.0,100.0,False,10953.0,7,17.119
982.5169444444444,287.0,100.0,False,11036.0,7,17.359
1004.9947222222223,289.0,100.0,False,11183.0,7,17.639
1021.161388888889,291.0,100.0,False,11214.0,7,17.839
1043.483611111111,287.0,0.0,True,11093.0,7,18.119
1064.9502777777777,276.0,2.0,True,10998.0,7,18.399
1083.0169444444446,271.0,10.0,False,11869.0,7,18.639
1100.6233333333334,263.0,27.0,False,11674.0,6,18.88
1112.1344444444446,259.0,35.0,False,11525.0,6,19.04
1129.0677777777778,254.0,44.0,False,11253.0,6,19.28
1143.0122222222221,251.0,56.0,False,11196.0,6,19.48
1162.5344444444445,251.0,61.0,False,11211.0,6,19.76
1184.578888888889,248.0,56.0,False,11039.0,6,20.08
1203.3233333333335,241.0,0.0,True,10761.0,6,20.36
1213.7233333333336,234.0,0.0,True,11534.0,6,20.52
1228.456666666667,221.0,0.0,True,10992.0,5,20.76
1245.1788888888893,215.0,4.0,False,10652.0,5,21.04
1256.8455555555558,210.0,16.0,False,10608.0,5,21.24
1268.3455555555558,207.0,25.0,False,10350.0,5,21.44
1279.7344444444448,205.0,23.0,False,10284.0,5,21.64
1297.5122222222226,200.0,32.0,False,10116.0,5,21.96
1317.6122222222225,201.0,64.0,False,10318.0,5,22.32
1335.745555555556,204.0,74.0,False,10409.0,5,22.64
1347.188055555556,207.0,91.0,False,10482.0,5,22.839
1356.5658333333338,211.0,62.0,False,10630.0,5,22.999
1377.5658333333338,210.0,41.0,False,10561.0,5,23.359
1391.499166666667,209.0,37.0,False,10517.0,5,23.599
1403.0547222222226,208.0,35.0,False,10454.0,5,23.799
1423.5547222222226,205.0,29.0,False,10344.0,5,24.159
1437.1547222222225,204.0,44.0,False,10350.0,5,24.399
1457.4547222222225,203.0,48.0,False,10259.0,5,24.759
1468.8436111111114,205.0,57.0,False,10386.0,5,24.959
1482.2436111111115,201.0,0.0,True,10327.0,5,25.199
1490.9102777777782,195.0,0.0,True,11027.0,5,25.359
1499.4522222222226,191.0,0.0,True,10983.0,4,25.52
1513.5300000000002,181.0,0.0,True,10424.0,4,25.8
1523.1411111111113,173.0,0.0,True,11404.0,4,26.0
1530.4300000000003,164.0,0.0,True,11430.0,4,26.16
1537.5411111111114,160.0,0.0,True,10922.0,3,26.32
1550.8744444444446,150.0,0.0,True,10173.0,3,26.64
1561.996666666667,143.0,0.0,True,9745.0,3,26.92
1571.13,137.0,0.0,True,9408.0,3,27.16
1579.9300000000003,132.0,0.0,True,9024.0,3,27.4
1592.6300000000003,127.0,6.0,False,8834.0,3,27.76
1599.5744444444447,125.0,8.0,False,8796.0,3,27.96
1605.0855555555559,124.0,2.0,False,8366.0,3,28.12
1615.8411111111113,121.0,6.0,False,8449.0,3,28.44
1623.8411111111113,120.0,25.0,False,8558.0,3,28.68
1630.6188888888892,122.0,35.0,False,8773.0,3,28.88
1636.0855555555559,123.0,37.0,False,8901.0,3,29.04
1644.5522222222226,127.0,48.0,False,9162.0,3,29.28
1654.9372222222225,134.0,56.0,False,9677.0,3,29.559
1660.981666666667,136.0,63.0,False,10152.0,3,29.719
1675.981666666667,150.0,74.0,False,10679.0,3,30.079
1684.8150000000003,159.0,95.0,False,11390.0,3,30.279
1694.2594444444449,170.0,100.0,False,11440.0,3,30.479
1706.192777777778,179.0,100.0,False,10856.0,4,30.719
1721.0483333333336,191.0,100.0,False,11416.0,4,30.999
